file,target_field,present
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\01_PROJECT_SNAPSHOT\WRAPPERS_HASHES.csv,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\_CODE_PACK_FILELIST.csv,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\datasets\manifest.json,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\02_CODE_CORE\logs\meta.jsonl,timestamp,1
